Description,polarity,Sentiment
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit area square bathroom ideal location young property close mount zee school early education mathematical institute,0.375,Positive
look independent house sale search buy property location owner list property brokerage involve independent house available reasonable price maintenance property build area property square spacious family property carpet area square bathroom number repute vicinity peace green ear,0.08000000000000002,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price area square property bathroom apartment strategically within close distance famous mission hospital hospital hospital like innovation academy time preschool,0.25,Positive
entire build sale single bedroom double bed room grind floor park rental yield property independent house sale property investment location tastefully design unit among best brokerage property property post directly owner contact price independent house monthly maintenance come best,0.25357142857142856,Positive
look apartment sale search buy property location owner list property brokerage involve floor apartment available reasonable price maintenance property build area property square bathroom apartment lift facility thoroughly safe premise facility include like gym garden sport,0.3666666666666667,Positive
look villa sale search buy property location west owner list property brokerage involve villa available reasonable price maintenance property build area property square bathroom number repute vicinity international institute hotel management senior secondary school,0.07500000000000002,Positive
street colony near station property apartment sale post owner brokerage involve beautifully design unit one desire contact information unit floor property price apartment maintenance come unit area square carpet area square,0.475,Positive
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit monthly maintenance area square bathroom ideal location young property close lady matriculation school matriculation higher secondary,0.35625,Positive
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit monthly maintenance area square bathroom property good view property lift facility well safe premise facility,0.5166666666666666,Positive
independent house sale owner list property thus brokerage involve independent house promise investment destination might chance grab best property sale independent house available reasonable price area square property provision bathroom strategic location many repute nearby like,0.29999999999999993,Positive
close gateway new bus stand property look good villa new property one popular brokerage property villa available modern unit area square property good view bathroom gate community facility provide ensure safety sport multiple gym garden sport facility swim pool,0.3590909090909091,Positive
block custom build exclusive use use duplex internal staircase provide independent also cup kitchen work kitchen cum cum hall one spacious floor wise area build area first floor build area second floor build area total build area first floor second floor total,0.13333333333333333,Positive
kindly excuse east face independent house avenue grind floor floor separate room bath room floor house come car cover park plenty two wheeler park corporation water water property independent house sale unit available premium best price property post owner brokerage involve contact,0.27,Positive
one property available sale independent house post directly owner make price independent house independent house spacious area square bathroom property quick distance away best vidya school bain matriculation higher secondary school also close good repute like hospital medical,0.2257575757575757,Positive
apartment sale post owner brokerage involve beautifully design unit one desire contact information unit floor property price apartment maintenance come unit area square carpet area square provision bathroom residential property near school,0.475,Positive
independent house compound face road surround coconut cool atmosphere property one property available sale independent house post directly owner make price independent house independent house spacious area square separate servant room available independent house bathroom property quick distance away best,0.23484848484848483,Positive
look apartment sale search buy property location raja owner list property brokerage involve floor apartment available reasonable price build area property square bathroom number repute vicinity school senior secondary school matriculation higher secondary school medical facility,0.04166666666666668,Positive
independent house sale post owner brokerage involve beautifully design unit one desire contact information price independent house maintenance come unit area square carpet area square provision bathroom residential property near matriculation higher secondary school,0.15,Positive
one property available sale independent house post directly owner make price independent house independent house spacious area square property good view bathroom property quick distance away best higher secondary school pink fitness ladies gym senior secondary school also,0.17361111111111113,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price also need pay towards maintenance area square property bathroom apartment strategically within close distance famous hospital new life hospital hospital like,0.21212121212121213,Positive
excellent property heart city best family commercial residential rental home best property rebuild modern property independent house sale property investment location tastefully design unit among best brokerage property property post directly owner contact price independent house monthly maintenance,0.47777777777777775,Positive
independent house sale unit available premium best price property post owner brokerage involve contact desire purchase price independent house project also pay monthly maintenance good spacious independent house unit carpet area square area square bathroom,0.3499999999999999,Positive
check apartment sale anna west extension property post owner thus need pay broker amount apartment perfect anna west extension promise location one area buy apartment sale floor total number project price property pay towards maintenance property abide square,0.5,Positive
one property available sale independent house post directly owner make price independent house independent house spacious area square bathroom property quick distance away best matric higher secondary school middle school sir higher secondary school also close good repute like speciality hospital sir,0.18717948717948715,Positive
check apartment sale property post owner thus need pay broker amount apartment perfect promise location one area buy apartment sale floor total number project price property pay towards maintenance property abide square area unit,0.5,Positive
best apartment available sale brokerage involve post owner grab property sale one top location anna west extension situate floor total number apartment property price unit monthly maintenance carpet area unit square area square make use servant room apartment bathroom ideal location young,0.48333333333333334,Positive
house sale portion servant room granite floor age construction cover independent drive way car park bike park sump bore well good ventilation cover car park independent driveway close shop every civic amenity frame structure architect design crore landmark near pizza property look independent house,0.15999999999999998,Positive
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit area square bathroom ideal location young property close academy matriculation higher secondary school international institute hotel management,0.31666666666666665,Positive
check independent house sale property post owner thus need pay broker amount independent house perfect promise location one area buy independent house sale price property abide square area square unit bathroom educational wit,0.25,Positive
fully furnish fairly new apartment prime residential area road face lift close temple park get three bedroom sale reasonable price without brokerage home come cover park area car east face apartment floor need intercom facility security elevator access happy note home fully furnish apartment move star,0.37878787878787884,Positive
one property available sale independent house post directly owner make price independent house independent house spacious area square carpet area square bathroom property quick distance away best matriculation higher secondary school sri vidya matriculation higher secondary school also close,0.15757575757575756,Positive
independent house sale property investment location tastefully design unit among best brokerage property property post directly owner contact price independent house monthly maintenance come best property spacious area square carpet area square bathroom,0.42000000000000004,Positive
best apartment available sale brokerage involve post owner grab property sale one top location situate floor total number apartment property price unit monthly maintenance area square bathroom ideal location young property close higher secondary school senior secondary junior,0.2833333333333334,Positive
independent house sale unit available premium best price property post owner brokerage involve contact desire purchase price independent house project also pay monthly maintenance good spacious independent house unit carpet area square area square bathroom property,0.3499999999999999,Positive
apartment sale anna west extension post owner brokerage involve beautifully design unit one anna west desire contact information unit floor property price apartment unit area square carpet area square provision bathroom residential property near matriculation higher secondar,0.39999999999999997,Positive
look good villa property one popular brokerage property maintenance property villa available modern unit area square carpet area villa square bathroom close best specialty hospital medical siva clinic establish school,0.4833333333333332,Positive
look apartment sale search buy property location owner list property brokerage involve floor maintenance property build area property square spacious family property carpet area square bathroom number repute vicinity international institute hotel management,0.0,Positive
one property available sale apartment post directly owner make floor build move property include maintenance apartment spacious area square carpet area square property good view bathroom lift facility also available gate community property facility include gym,0.4,Positive
look good villa property one popular brokerage property maintenance property modern unit area square bathroom close best hospital research institute supreme speciality health city establish institute mathematical institute also,0.5,Positive
property sale apartment promise location property post owner brokerage involve floor total number build price area square apartment strategically within close distance famous cradle hospital diabetes global health city like school,0.16666666666666666,Positive
look good villa property one popular brokerage property villa available modern unit area square close best international fortis malar hospital military hospital establish international institute hotel management senior secondary junior college school also,0.27777777777777773,Positive
